vehicle_id,vehicle_type,registration_number,make_model,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
VEH-005423,bus,SYN-0005423,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-005454,truck,SYN-0005454,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-005465,car,SYN-0005465,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-005538,car,SYN-0005538,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-006443,truck,SYN-0006443,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-006463,bus,SYN-0006463,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-006845,bus,SYN-0006845,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-006869,bus,SYN-0006869,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-006991,van,SYN-0006991,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-007236,car,SYN-0007236,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-007245,bus,SYN-0007245,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-007589,bus,SYN-0007589,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-007852,van,SYN-0007852,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-007857,bus,SYN-0007857,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-008408,bus,SYN-0008408,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-008945,car,SYN-0008945,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-008957,car,SYN-0008957,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-009355,car,SYN-0009355,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-009459,bus,SYN-0009459,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-009628,car,SYN-0009628,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-009651,bus,SYN-0009651,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-010131,bus,SYN-0010131,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-010137,bus,SYN-0010137,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-010139,van,SYN-0010139,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-010682,motorcycle,SYN-0010682,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-010854,van,SYN-0010854,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-011460,van,SYN-0011460,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-011667,motorcycle,SYN-0011667,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-012146,motorcycle,SYN-0012146,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-012179,van,SYN-0012179,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-012182,truck,SYN-0012182,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-012560,truck,SYN-0012560,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-012683,car,SYN-0012683,Model-C,true,SYNTHETIC,,,MEDIUM,
VEH-013012,car,SYN-0013012,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-013278,bus,SYN-0013278,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-013283,motorcycle,SYN-0013283,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-013447,car,SYN-0013447,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-013450,motorcycle,SYN-0013450,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-013494,bus,SYN-0013494,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-013498,bus,SYN-0013498,Model-B,true,SYNTHETIC,,,MEDIUM,
VEH-013655,car,SYN-0013655,Model-D,true,SYNTHETIC,,,MEDIUM,
VEH-014521,bus,SYN-0014521,Model-A,true,SYNTHETIC,,,MEDIUM,
VEH-014525,car,SYN-0014525,Model-A,true,SYNTHETIC,,,MEDIUM,
