physical_event_id,timestamp,person_id,event_type,location_id,source_identifier,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
PHY-00000318,2025-12-03T15:31:13,PER-022852,prox-in-building,LOC-005358,SYN-ACCESS-00000318,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00000334,2024-03-13T00:52:08,PER-023945,prox-out-classified,LOC-006608,SYN-ACCESS-00000334,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00000380,2024-08-02T18:12:54,PER-027179,prox-out-classified,LOC-001352,SYN-ACCESS-00000380,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00000397,2024-12-30T01:06:44,PER-028278,prox-out-classified,LOC-001251,SYN-ACCESS-00000397,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00000399,2025-09-28T22:21:59,PER-028494,prox-out-classified,LOC-003606,SYN-ACCESS-00000399,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00000417,2025-08-12T05:05:36,PER-029521,prox-in-classified,LOC-006867,SYN-ACCESS-00000417,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00000437,2025-05-15T07:49:47,PER-031212,prox-in-building,LOC-008029,SYN-ACCESS-00000437,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00000499,2025-12-07T11:08:40,PER-035454,prox-in-building,LOC-003644,SYN-ACCESS-00000499,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00000535,2025-01-24T13:16:19,PER-002304,prox-in-building,LOC-003069,SYN-ACCESS-00000535,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00000547,2024-08-21T02:11:39,PER-003233,prox-out-classified,LOC-001301,SYN-ACCESS-00000547,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00000588,2024-10-28T06:44:14,PER-006443,prox-in-classified,LOC-004989,SYN-ACCESS-00000588,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00000599,2025-11-10T03:06:30,PER-007236,prox-in-classified,LOC-001855,SYN-ACCESS-00000599,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00000633,2024-02-17T15:18:11,PER-009628,prox-in-classified,LOC-009679,SYN-ACCESS-00000633,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00000642,2024-05-14T06:30:24,PER-010131,prox-in-classified,LOC-008679,SYN-ACCESS-00000642,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00000740,2024-04-18T03:22:29,PER-017223,prox-in-classified,LOC-005692,SYN-ACCESS-00000740,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00000765,2025-11-11T15:16:38,PER-018950,prox-in-building,LOC-002481,SYN-ACCESS-00000765,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00000772,2024-10-03T14:37:34,PER-019374,prox-in-classified,LOC-007336,SYN-ACCESS-00000772,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00000782,2024-11-17T14:35:44,PER-020096,prox-in-building,LOC-007371,SYN-ACCESS-00000782,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00000803,2024-08-31T18:24:30,PER-021845,prox-in-building,LOC-006029,SYN-ACCESS-00000803,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
PHY-00000818,2025-12-26T02:11:59,PER-022852,prox-in-building,LOC-005358,SYN-ACCESS-00000818,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00000834,2024-11-03T00:34:13,PER-023945,prox-out-classified,LOC-006608,SYN-ACCESS-00000834,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00000880,2024-10-25T23:10:05,PER-027179,prox-in-building,LOC-001352,SYN-ACCESS-00000880,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00000897,2024-04-28T21:55:31,PER-028278,prox-in-building,LOC-001251,SYN-ACCESS-00000897,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00000899,2025-09-13T05:09:12,PER-028494,prox-out-classified,LOC-003606,SYN-ACCESS-00000899,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00000917,2025-07-10T22:01:29,PER-029521,prox-out-classified,LOC-006867,SYN-ACCESS-00000917,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00000937,2024-12-30T17:51:46,PER-031212,prox-in-building,LOC-008029,SYN-ACCESS-00000937,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00000999,2025-09-10T16:46:21,PER-035454,prox-out-classified,LOC-003644,SYN-ACCESS-00000999,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00001035,2024-06-25T03:15:30,PER-002304,prox-out-classified,LOC-003069,SYN-ACCESS-00001035,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00001047,2024-08-02T11:53:23,PER-003233,prox-out-classified,LOC-001301,SYN-ACCESS-00001047,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00001088,2024-03-01T06:55:17,PER-006443,prox-in-building,LOC-004989,SYN-ACCESS-00001088,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00001099,2025-07-05T13:40:33,PER-007236,prox-in-building,LOC-001855,SYN-ACCESS-00001099,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00001133,2024-03-22T03:24:41,PER-009628,prox-out-classified,LOC-009679,SYN-ACCESS-00001133,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00001142,2024-07-24T07:36:57,PER-010131,prox-in-classified,LOC-008679,SYN-ACCESS-00001142,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00001240,2025-05-17T18:43:05,PER-017223,prox-in-classified,LOC-005692,SYN-ACCESS-00001240,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00001265,2024-01-06T00:41:42,PER-018950,prox-in-classified,LOC-002481,SYN-ACCESS-00001265,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00001272,2025-10-30T20:21:39,PER-019374,prox-in-building,LOC-007336,SYN-ACCESS-00001272,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00001282,2025-10-05T11:04:07,PER-020096,prox-in-building,LOC-007371,SYN-ACCESS-00001282,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00001303,2024-05-25T18:23:16,PER-021845,prox-out-classified,LOC-006029,SYN-ACCESS-00001303,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
PHY-00001318,2024-02-18T03:07:15,PER-022852,prox-in-building,LOC-005358,SYN-ACCESS-00001318,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00001334,2025-02-02T14:20:50,PER-023945,prox-in-classified,LOC-006608,SYN-ACCESS-00001334,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00001380,2024-01-29T14:50:28,PER-027179,prox-out-classified,LOC-001352,SYN-ACCESS-00001380,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00001397,2024-04-02T23:28:00,PER-028278,prox-out-classified,LOC-001251,SYN-ACCESS-00001397,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00001399,2025-07-15T20:59:51,PER-028494,prox-in-classified,LOC-003606,SYN-ACCESS-00001399,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00001417,2025-07-19T10:44:09,PER-029521,prox-in-building,LOC-006867,SYN-ACCESS-00001417,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00001437,2024-02-14T11:49:14,PER-031212,prox-out-classified,LOC-008029,SYN-ACCESS-00001437,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00001499,2025-04-03T06:43:23,PER-035454,prox-in-building,LOC-003644,SYN-ACCESS-00001499,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00001535,2025-06-29T11:58:19,PER-002304,prox-in-classified,LOC-003069,SYN-ACCESS-00001535,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00001547,2025-01-05T02:35:58,PER-003233,prox-out-classified,LOC-001301,SYN-ACCESS-00001547,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00001588,2025-10-11T11:49:40,PER-006443,prox-in-classified,LOC-004989,SYN-ACCESS-00001588,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00001599,2024-03-25T22:19:13,PER-007236,prox-out-classified,LOC-001855,SYN-ACCESS-00001599,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00001633,2025-08-05T02:13:04,PER-009628,prox-in-building,LOC-009679,SYN-ACCESS-00001633,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00001642,2025-04-14T23:59:35,PER-010131,prox-in-building,LOC-008679,SYN-ACCESS-00001642,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00001740,2024-04-24T19:41:01,PER-017223,prox-out-classified,LOC-005692,SYN-ACCESS-00001740,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00001765,2025-07-27T07:33:07,PER-018950,prox-in-building,LOC-002481,SYN-ACCESS-00001765,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00001772,2024-11-22T10:19:18,PER-019374,prox-in-building,LOC-007336,SYN-ACCESS-00001772,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00001782,2024-02-14T11:20:09,PER-020096,prox-in-classified,LOC-007371,SYN-ACCESS-00001782,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00001803,2025-06-13T11:10:30,PER-021845,prox-out-classified,LOC-006029,SYN-ACCESS-00001803,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
PHY-00001818,2025-02-17T17:04:32,PER-022852,prox-in-building,LOC-005358,SYN-ACCESS-00001818,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00001834,2024-02-02T11:26:55,PER-023945,prox-in-classified,LOC-006608,SYN-ACCESS-00001834,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00001880,2024-08-12T15:02:08,PER-027179,prox-in-building,LOC-001352,SYN-ACCESS-00001880,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00001897,2025-11-11T20:44:59,PER-028278,prox-in-classified,LOC-001251,SYN-ACCESS-00001897,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00001899,2025-08-03T03:35:53,PER-028494,prox-in-classified,LOC-003606,SYN-ACCESS-00001899,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00001917,2024-01-26T10:10:54,PER-029521,prox-in-building,LOC-006867,SYN-ACCESS-00001917,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00001937,2024-10-22T20:06:06,PER-031212,prox-out-classified,LOC-008029,SYN-ACCESS-00001937,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00001999,2025-06-13T15:32:28,PER-035454,prox-in-classified,LOC-003644,SYN-ACCESS-00001999,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00002035,2025-03-07T11:57:20,PER-002304,prox-out-classified,LOC-003069,SYN-ACCESS-00002035,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00002047,2024-11-19T18:34:20,PER-003233,prox-in-building,LOC-001301,SYN-ACCESS-00002047,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00002088,2024-11-18T01:14:23,PER-006443,prox-in-building,LOC-004989,SYN-ACCESS-00002088,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00002099,2024-08-22T09:30:07,PER-007236,prox-in-classified,LOC-001855,SYN-ACCESS-00002099,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00002133,2025-03-09T00:03:24,PER-009628,prox-in-classified,LOC-009679,SYN-ACCESS-00002133,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00002142,2024-06-15T01:09:53,PER-010131,prox-out-classified,LOC-008679,SYN-ACCESS-00002142,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00002240,2024-12-14T13:19:01,PER-017223,prox-in-building,LOC-005692,SYN-ACCESS-00002240,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00002265,2024-06-10T14:46:02,PER-018950,prox-out-classified,LOC-002481,SYN-ACCESS-00002265,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00002272,2025-10-17T12:43:35,PER-019374,prox-in-building,LOC-007336,SYN-ACCESS-00002272,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00002282,2025-07-09T01:21:14,PER-020096,prox-out-classified,LOC-007371,SYN-ACCESS-00002282,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00002303,2025-06-25T21:37:11,PER-021845,prox-in-building,LOC-006029,SYN-ACCESS-00002303,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
PHY-00002318,2024-12-12T20:38:17,PER-022852,prox-in-building,LOC-005358,SYN-ACCESS-00002318,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00002334,2025-10-17T01:59:41,PER-023945,prox-out-classified,LOC-006608,SYN-ACCESS-00002334,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00002380,2025-11-09T06:50:07,PER-027179,prox-out-classified,LOC-001352,SYN-ACCESS-00002380,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00002397,2025-07-25T18:13:25,PER-028278,prox-in-building,LOC-001251,SYN-ACCESS-00002397,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00002399,2024-06-17T22:28:05,PER-028494,prox-in-classified,LOC-003606,SYN-ACCESS-00002399,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00002417,2025-03-05T03:59:38,PER-029521,prox-in-building,LOC-006867,SYN-ACCESS-00002417,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00002437,2025-08-12T17:35:16,PER-031212,prox-in-building,LOC-008029,SYN-ACCESS-00002437,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00002499,2025-12-26T14:28:25,PER-035454,prox-in-building,LOC-003644,SYN-ACCESS-00002499,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00002535,2025-01-21T23:04:27,PER-002304,prox-out-classified,LOC-003069,SYN-ACCESS-00002535,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00002547,2025-02-17T23:51:17,PER-003233,prox-out-classified,LOC-001301,SYN-ACCESS-00002547,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00002588,2024-12-12T23:23:23,PER-006443,prox-in-building,LOC-004989,SYN-ACCESS-00002588,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00002599,2024-02-14T11:01:14,PER-007236,prox-in-building,LOC-001855,SYN-ACCESS-00002599,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00002633,2025-03-16T16:37:13,PER-009628,prox-out-classified,LOC-009679,SYN-ACCESS-00002633,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00002642,2025-11-13T09:21:54,PER-010131,prox-out-classified,LOC-008679,SYN-ACCESS-00002642,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00002740,2025-03-07T02:27:40,PER-017223,prox-out-classified,LOC-005692,SYN-ACCESS-00002740,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00002765,2024-05-25T03:10:37,PER-018950,prox-in-building,LOC-002481,SYN-ACCESS-00002765,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00002772,2025-01-30T15:10:49,PER-019374,prox-in-classified,LOC-007336,SYN-ACCESS-00002772,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00002782,2024-10-26T07:12:05,PER-020096,prox-in-building,LOC-007371,SYN-ACCESS-00002782,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00002803,2024-04-05T09:36:53,PER-021845,prox-in-classified,LOC-006029,SYN-ACCESS-00002803,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
PHY-00002818,2024-08-09T16:29:14,PER-022852,prox-out-classified,LOC-005358,SYN-ACCESS-00002818,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00002834,2025-05-19T10:03:30,PER-023945,prox-in-building,LOC-006608,SYN-ACCESS-00002834,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00002880,2025-11-05T17:54:38,PER-027179,prox-in-classified,LOC-001352,SYN-ACCESS-00002880,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00002897,2025-09-26T06:15:41,PER-028278,prox-out-classified,LOC-001251,SYN-ACCESS-00002897,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00002899,2025-02-27T00:10:56,PER-028494,prox-in-building,LOC-003606,SYN-ACCESS-00002899,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00002917,2024-06-22T12:11:09,PER-029521,prox-in-building,LOC-006867,SYN-ACCESS-00002917,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00002937,2024-02-23T05:16:36,PER-031212,prox-in-classified,LOC-008029,SYN-ACCESS-00002937,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00002999,2025-11-02T09:11:27,PER-035454,prox-in-classified,LOC-003644,SYN-ACCESS-00002999,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00003035,2025-06-19T11:26:26,PER-002304,prox-out-classified,LOC-003069,SYN-ACCESS-00003035,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00003047,2025-05-25T22:39:10,PER-003233,prox-in-classified,LOC-001301,SYN-ACCESS-00003047,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00003088,2025-10-22T21:13:13,PER-006443,prox-in-building,LOC-004989,SYN-ACCESS-00003088,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00003099,2024-03-09T22:26:53,PER-007236,prox-out-classified,LOC-001855,SYN-ACCESS-00003099,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00003133,2024-10-14T00:24:22,PER-009628,prox-in-classified,LOC-009679,SYN-ACCESS-00003133,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00003142,2024-12-27T05:54:22,PER-010131,prox-in-classified,LOC-008679,SYN-ACCESS-00003142,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00003240,2024-06-22T00:03:42,PER-017223,prox-out-classified,LOC-005692,SYN-ACCESS-00003240,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00003265,2024-08-27T23:57:41,PER-018950,prox-out-classified,LOC-002481,SYN-ACCESS-00003265,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00003272,2024-07-04T22:15:53,PER-019374,prox-in-classified,LOC-007336,SYN-ACCESS-00003272,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00003282,2025-06-10T16:53:57,PER-020096,prox-in-classified,LOC-007371,SYN-ACCESS-00003282,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00003303,2024-07-07T20:17:52,PER-021845,prox-in-classified,LOC-006029,SYN-ACCESS-00003303,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
PHY-00003318,2025-10-30T10:52:10,PER-022852,prox-in-classified,LOC-005358,SYN-ACCESS-00003318,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00003334,2024-03-03T11:36:57,PER-023945,prox-in-building,LOC-006608,SYN-ACCESS-00003334,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00003380,2025-04-26T05:14:58,PER-027179,prox-in-classified,LOC-001352,SYN-ACCESS-00003380,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00003397,2025-08-01T06:45:41,PER-028278,prox-out-classified,LOC-001251,SYN-ACCESS-00003397,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00003399,2025-03-27T19:06:49,PER-028494,prox-out-classified,LOC-003606,SYN-ACCESS-00003399,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00003417,2024-09-24T02:13:40,PER-029521,prox-in-building,LOC-006867,SYN-ACCESS-00003417,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00003437,2024-04-14T09:44:54,PER-031212,prox-in-classified,LOC-008029,SYN-ACCESS-00003437,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00003499,2024-07-06T08:46:16,PER-035454,prox-in-classified,LOC-003644,SYN-ACCESS-00003499,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00003535,2024-04-25T07:30:45,PER-002304,prox-out-classified,LOC-003069,SYN-ACCESS-00003535,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00003547,2025-09-12T23:20:17,PER-003233,prox-in-building,LOC-001301,SYN-ACCESS-00003547,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00003588,2024-09-19T06:21:25,PER-006443,prox-in-classified,LOC-004989,SYN-ACCESS-00003588,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00003599,2024-11-10T06:03:40,PER-007236,prox-in-building,LOC-001855,SYN-ACCESS-00003599,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00003633,2025-08-21T05:17:45,PER-009628,prox-in-building,LOC-009679,SYN-ACCESS-00003633,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00003642,2024-06-25T01:24:04,PER-010131,prox-in-building,LOC-008679,SYN-ACCESS-00003642,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
PHY-00003740,2024-05-20T14:25:06,PER-017223,prox-out-classified,LOC-005692,SYN-ACCESS-00003740,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0959
PHY-00003765,2025-07-27T03:57:19,PER-018950,prox-out-classified,LOC-002481,SYN-ACCESS-00003765,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1059
PHY-00003772,2025-12-12T09:53:35,PER-019374,prox-out-classified,LOC-007336,SYN-ACCESS-00003772,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1084
PHY-00003782,2025-07-20T13:31:08,PER-020096,prox-out-classified,LOC-007371,SYN-ACCESS-00003782,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1124
PHY-00003803,2025-10-27T08:09:39,PER-021845,prox-in-classified,LOC-006029,SYN-ACCESS-00003803,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1209
PHY-00003818,2025-07-01T18:08:54,PER-022852,prox-in-building,LOC-005358,SYN-ACCESS-00003818,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1269
PHY-00003834,2025-08-17T07:44:01,PER-023945,prox-in-classified,LOC-006608,SYN-ACCESS-00003834,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1334
PHY-00003880,2025-05-17T07:58:27,PER-027179,prox-in-classified,LOC-001352,SYN-ACCESS-00003880,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1519
PHY-00003897,2025-01-23T13:27:55,PER-028278,prox-out-classified,LOC-001251,SYN-ACCESS-00003897,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1584
PHY-00003899,2025-08-05T16:23:43,PER-028494,prox-in-classified,LOC-003606,SYN-ACCESS-00003899,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1594
PHY-00003917,2025-05-24T20:58:41,PER-029521,prox-in-classified,LOC-006867,SYN-ACCESS-00003917,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1664
PHY-00003937,2025-01-19T14:21:56,PER-031212,prox-in-building,LOC-008029,SYN-ACCESS-00003937,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1744
PHY-00003999,2025-04-02T23:30:58,PER-035454,prox-in-building,LOC-003644,SYN-ACCESS-00003999,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-1994
PHY-00004035,2025-04-21T10:08:17,PER-002304,prox-in-classified,LOC-003069,SYN-ACCESS-00004035,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0139
PHY-00004047,2024-02-18T07:25:00,PER-003233,prox-out-classified,LOC-001301,SYN-ACCESS-00004047,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0184
PHY-00004088,2024-06-19T08:34:51,PER-006443,prox-in-classified,LOC-004989,SYN-ACCESS-00004088,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0349
PHY-00004099,2024-05-21T03:37:46,PER-007236,prox-in-building,LOC-001855,SYN-ACCESS-00004099,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0394
PHY-00004133,2024-12-27T19:20:30,PER-009628,prox-out-classified,LOC-009679,SYN-ACCESS-00004133,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0529
PHY-00004142,2024-03-11T08:51:41,PER-010131,prox-in-classified,LOC-008679,SYN-ACCESS-00004142,true,SYNTHETIC,,,MEDIUM,SCN-PHYS-0564
