device_id,device_type,ip_address,device_identifier,first_seen,last_seen,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
DEV-025987,desktop,10.0.101.130,SYN-DEVICE-00025987,2024-07-17T21:53:47,2025-12-08T11:08:25,true,SYNTHETIC,,,MEDIUM,
DEV-026218,server,10.0.102.105,SYN-DEVICE-00026218,2024-02-21T02:30:42,2024-04-16T00:48:16,true,SYNTHETIC,,,MEDIUM,
DEV-026601,server,10.0.103.232,SYN-DEVICE-00026601,2025-08-18T01:20:37,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-026682,phone,10.0.104.57,SYN-DEVICE-00026682,2025-02-06T05:11:01,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-026713,server,10.0.104.88,SYN-DEVICE-00026713,2025-06-24T03:32:54,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-026915,phone,10.0.105.34,SYN-DEVICE-00026915,2024-01-14T12:42:06,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-027406,tablet,10.0.107.13,SYN-DEVICE-00027406,2024-06-29T12:35:52,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-027427,phone,10.0.107.34,SYN-DEVICE-00027427,2024-01-02T16:34:30,2025-01-20T01:34:17,true,SYNTHETIC,,,MEDIUM,
DEV-027980,laptop,10.0.109.75,SYN-DEVICE-00027980,2024-06-27T15:22:31,2024-12-02T01:21:11,true,SYNTHETIC,,,MEDIUM,
DEV-028515,router,10.0.111.98,SYN-DEVICE-00028515,2024-10-03T19:00:58,2024-11-02T12:03:57,true,SYNTHETIC,,,MEDIUM,
DEV-028563,router,10.0.111.146,SYN-DEVICE-00028563,2025-05-24T22:28:05,2025-10-26T20:14:49,true,SYNTHETIC,,,MEDIUM,
DEV-029836,laptop,10.0.116.139,SYN-DEVICE-00029836,2025-09-05T12:54:45,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-030159,server,10.0.117.206,SYN-DEVICE-00030159,2025-09-13T04:17:15,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-030344,server,10.0.118.135,SYN-DEVICE-00030344,2024-04-09T16:05:10,2025-03-07T05:05:15,true,SYNTHETIC,,,MEDIUM,
DEV-030382,phone,10.0.118.173,SYN-DEVICE-00030382,2025-11-26T00:16:33,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-030844,desktop,10.0.120.123,SYN-DEVICE-00030844,2025-01-05T02:38:48,2025-03-01T00:46:36,true,SYNTHETIC,,,MEDIUM,
DEV-030846,router,10.0.120.125,SYN-DEVICE-00030846,2024-05-14T08:40:34,2025-06-18T11:07:24,true,SYNTHETIC,,,MEDIUM,
DEV-031193,desktop,10.0.121.216,SYN-DEVICE-00031193,2024-09-24T11:17:56,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-031231,tablet,10.0.121.254,SYN-DEVICE-00031231,2025-08-28T08:55:47,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-031903,phone,10.0.124.158,SYN-DEVICE-00031903,2025-11-07T05:24:57,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-032135,phone,10.0.125.134,SYN-DEVICE-00032135,2025-04-23T21:10:08,2025-10-07T18:52:41,true,SYNTHETIC,,,MEDIUM,
DEV-032258,desktop,10.0.126.1,SYN-DEVICE-00032258,2024-04-22T11:56:42,2025-04-23T11:05:18,true,SYNTHETIC,,,MEDIUM,
DEV-032274,phone,10.0.126.17,SYN-DEVICE-00032274,2025-02-15T09:24:41,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-032369,router,10.0.126.112,SYN-DEVICE-00032369,2024-12-28T06:40:34,2025-01-26T08:04:06,true,SYNTHETIC,,,MEDIUM,
DEV-032570,server,10.0.127.57,SYN-DEVICE-00032570,2024-11-25T02:14:02,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-032573,server,10.0.127.60,SYN-DEVICE-00032573,2024-08-01T00:57:31,2025-12-01T12:00:03,true,SYNTHETIC,,,MEDIUM,
DEV-032975,phone,10.0.128.206,SYN-DEVICE-00032975,2025-01-31T13:57:44,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-034332,server,10.0.134.27,SYN-DEVICE-00034332,2024-04-21T21:57:05,2025-05-02T12:54:25,true,SYNTHETIC,,,MEDIUM,
DEV-034414,server,10.0.134.109,SYN-DEVICE-00034414,2025-01-11T09:40:45,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-034638,laptop,10.0.135.77,SYN-DEVICE-00034638,2024-07-09T15:02:27,2025-09-27T17:46:47,true,SYNTHETIC,,,MEDIUM,
DEV-034639,tablet,10.0.135.78,SYN-DEVICE-00034639,2024-07-03T00:24:44,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-034697,tablet,10.0.135.136,SYN-DEVICE-00034697,2025-08-19T07:38:48,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
DEV-034754,router,10.0.135.193,SYN-DEVICE-00034754,2025-10-04T08:11:20,2025-12-31T23:59:59,true,SYNTHETIC,,,MEDIUM,
