relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,timestamp,confidence,relationship_origin,source_dataset,source_record_reference,synthetic_flag,reason,scenario_id
REL-0026702,Person,PER-014212,OWNS,Account,ACC-026187,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0026848,Person,PER-028959,OWNS,Account,ACC-026425,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0027012,Person,PER-002277,OWNS,Account,ACC-026691,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0027056,Person,PER-007797,OWNS,Account,ACC-026768,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0027790,Person,PER-043086,OWNS,Account,ACC-028020,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0027911,Person,PER-029521,OWNS,Account,ACC-028214,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0028638,Person,PER-021869,OWNS,Account,ACC-029568,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0028643,Person,PER-003235,OWNS,Account,ACC-029574,,MEDIUM,SYNTHETIC,,,true,Synthetic account ownership.,
REL-0028957,Person,PER-019374,USES,Phone,PH-000044,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0028958,Person,PER-019374,USES,Phone,PH-027974,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0029659,Person,PER-028498,USES,Phone,PH-000476,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0029660,Person,PER-028498,USES,Phone,PH-015891,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0029661,Person,PER-028498,USES,Phone,PH-023665,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0029662,Person,PER-028498,USES,Phone,PH-028696,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0029847,Person,PER-002304,USES,Phone,PH-000587,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0030627,Person,PER-035454,USES,Phone,PH-001049,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0030628,Person,PER-035454,USES,Phone,PH-006520,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0030629,Person,PER-035454,USES,Phone,PH-033163,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0030803,Person,PER-028494,USES,Phone,PH-001152,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0030855,Person,PER-002324,USES,Phone,PH-001187,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0031793,Person,PER-035465,USES,Phone,PH-001748,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0031794,Person,PER-035465,USES,Phone,PH-004497,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032489,Person,PER-020106,USES,Phone,PH-002163,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032672,Person,PER-017223,USES,Phone,PH-002283,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032673,Person,PER-017223,USES,Phone,PH-004238,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032674,Person,PER-017223,USES,Phone,PH-030677,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032675,Person,PER-017223,USES,Phone,PH-031610,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032722,Person,PER-028447,USES,Phone,PH-002316,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032723,Person,PER-028447,USES,Phone,PH-002498,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032731,Person,PER-018950,USES,Phone,PH-002321,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032732,Person,PER-018950,USES,Phone,PH-005467,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0032733,Person,PER-018950,USES,Phone,PH-008899,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0033874,Person,PER-009464,USES,Phone,PH-003056,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0034241,Person,PER-002038,USES,Phone,PH-014810,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0034304,Person,PER-017373,USES,Phone,PH-003346,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0034925,Person,PER-029550,USES,Phone,PH-003763,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0035328,Person,PER-003235,USES,Phone,PH-004032,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0035329,Person,PER-003235,USES,Phone,PH-017380,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0035330,Person,PER-003235,USES,Phone,PH-026468,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0035375,Person,PER-028278,USES,Phone,PH-004060,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0035970,Person,PER-027182,USES,Phone,PH-004465,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0035971,Person,PER-027182,USES,Phone,PH-009119,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0035972,Person,PER-027182,USES,Phone,PH-017894,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0038380,Person,PER-030725,USES,Phone,PH-020355,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0039146,Person,PER-010131,USES,Phone,PH-006693,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0039147,Person,PER-010131,USES,Phone,PH-014760,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0039407,Person,PER-014561,USES,Phone,PH-011535,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0039493,Person,PER-003295,USES,Phone,PH-006958,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0039819,Person,PER-021037,USES,Phone,PH-007197,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0040081,Person,PER-048422,USES,Phone,PH-012417,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0040485,Person,PER-007245,USES,Phone,PH-007675,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0040666,Person,PER-029521,USES,Phone,PH-007808,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0040709,Person,PER-006463,USES,Phone,PH-007841,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0040710,Person,PER-006463,USES,Phone,PH-034277,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0041598,Person,PER-018764,USES,Phone,PH-008524,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0042012,Person,PER-031212,USES,Phone,PH-008856,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0042153,Person,PER-022852,USES,Phone,PH-008968,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0042154,Person,PER-022852,USES,Phone,PH-028666,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0042199,Person,PER-022477,USES,Phone,PH-008998,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0043002,Person,PER-023384,USES,Phone,PH-009651,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0043198,Person,PER-024383,USES,Phone,PH-009798,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0043323,Person,PER-004141,USES,Phone,PH-009893,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0044075,Person,PER-018239,USES,Phone,PH-010528,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0044242,Person,PER-046296,USES,Phone,PH-016818,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0044718,Person,PER-007082,USES,Phone,PH-011073,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0045274,Person,PER-022207,USES,Phone,PH-011524,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0046172,Person,PER-023945,USES,Phone,PH-012297,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0046173,Person,PER-023945,USES,Phone,PH-027683,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0046520,Person,PER-019375,USES,Phone,PH-012599,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0047077,Person,PER-021845,USES,Phone,PH-013083,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0048061,Person,PER-023824,USES,Phone,PH-013960,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0048250,Person,PER-039178,USES,Phone,PH-014150,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0048960,Person,PER-021577,USES,Phone,PH-014809,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0049038,Person,PER-023957,USES,Phone,PH-014885,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0049406,Person,PER-027179,USES,Phone,PH-015261,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0049491,Person,PER-033535,USES,Phone,PH-022544,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0049910,Person,PER-009747,USES,Phone,PH-015765,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0050305,Person,PER-049784,USES,Phone,PH-016178,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0051893,Person,PER-009628,USES,Phone,PH-017816,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0051907,Person,PER-038555,USES,Phone,PH-017832,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0052220,Person,PER-028064,USES,Phone,PH-018170,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0052759,Person,PER-022749,USES,Phone,PH-018803,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0053379,Person,PER-006443,USES,Phone,PH-019503,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0054981,Person,PER-028450,USES,Phone,PH-021375,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0054982,Person,PER-028450,USES,Phone,PH-030692,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0054987,Person,PER-028950,USES,Phone,PH-021379,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0055271,Person,PER-018982,USES,Phone,PH-021726,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0056027,Person,PER-014187,USES,Phone,PH-022609,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0056164,Person,PER-034527,USES,Phone,PH-022782,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0056203,Person,PER-021869,USES,Phone,PH-022831,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057006,Person,PER-004674,USES,Phone,PH-027902,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057117,Person,PER-007236,USES,Phone,PH-024038,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057170,Person,PER-040655,USES,Phone,PH-024107,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057338,Person,PER-017239,USES,Phone,PH-024342,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057629,Person,PER-022857,USES,Phone,PH-024697,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057630,Person,PER-022857,USES,Phone,PH-028720,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057817,Person,PER-014567,USES,Phone,PH-024970,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0057969,Person,PER-018958,USES,Phone,PH-025176,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0058470,Person,PER-028283,USES,Phone,PH-025856,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0059056,Person,PER-044187,USES,Phone,PH-026682,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0059124,Person,PER-009651,USES,Phone,PH-026778,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0059125,Person,PER-009651,USES,Phone,PH-030044,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0059755,Person,PER-020096,USES,Phone,PH-027742,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0060771,Person,PER-031219,USES,Phone,PH-029381,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0060819,Person,PER-029461,USES,Phone,PH-029455,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0061074,Person,PER-047796,USES,Phone,PH-029854,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0061379,Person,PER-003233,USES,Phone,PH-030408,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0061856,Person,PER-010137,USES,Phone,PH-031235,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0062679,Person,PER-036437,USES,Phone,PH-032658,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0062803,Person,PER-026491,USES,Phone,PH-032887,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0063061,Person,PER-015059,USES,Phone,PH-033378,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0063266,Person,PER-029525,USES,Phone,PH-033741,,MEDIUM,SYNTHETIC,,,true,Synthetic phone association.,
REL-0064529,Person,PER-010765,USES,Device,DEV-026713,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0064533,Person,PER-010137,USES,Device,DEV-000373,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0064534,Person,PER-010137,USES,Device,DEV-032274,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0064786,Person,PER-028278,USES,Device,DEV-000531,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0064787,Person,PER-028278,USES,Device,DEV-001024,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0064788,Person,PER-028278,USES,Device,DEV-031903,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0065271,Person,PER-030948,USES,Device,DEV-020518,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0065602,Person,PER-019374,USES,Device,DEV-001020,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0065603,Person,PER-019374,USES,Device,DEV-021890,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
REL-0066124,Person,PER-009651,USES,Device,DEV-001331,,MEDIUM,SYNTHETIC,,,true,Synthetic device association.,
