context_id,year,state_ut,city,crime_category,crime_count,measure_type,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
CTX-00050,2023,Karnataka,Bengaluru,theft,12455,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00050,MEDIUM,
CTX-00051,2022,Maharashtra,Mumbai,other,24396,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00051,MEDIUM,
CTX-00052,2024,Gujarat,Ahmedabad,fraud,1135,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00052,MEDIUM,
CTX-00053,2024,Madhya Pradesh,Indore,economic,22870,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00053,MEDIUM,
CTX-00054,2024,Delhi,Delhi,cyber-related,13597,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00054,MEDIUM,
CTX-00055,2023,Telangana,Hyderabad,theft,6592,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00055,MEDIUM,
CTX-00056,2022,Maharashtra,Nagpur,fraud,19487,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00056,MEDIUM,
CTX-00057,2022,West Bengal,Kolkata,property,18737,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00057,MEDIUM,
CTX-00058,2023,Telangana,Hyderabad,property,20548,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00058,MEDIUM,
CTX-00059,2023,Madhya Pradesh,Indore,cyber-related,14837,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00059,MEDIUM,
CTX-00060,2022,Gujarat,Ahmedabad,violent,9849,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00060,MEDIUM,
CTX-00061,2023,Maharashtra,Nashik,cyber-related,14873,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00061,MEDIUM,
CTX-00062,2024,Gujarat,Ahmedabad,economic,6489,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00062,MEDIUM,
CTX-00063,2023,Maharashtra,Mumbai,theft,2979,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00063,MEDIUM,
CTX-00064,2023,Maharashtra,Nashik,fraud,21592,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00064,MEDIUM,
CTX-00065,2023,West Bengal,Kolkata,cyber-related,16383,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00065,MEDIUM,
CTX-00066,2023,West Bengal,Kolkata,cyber-related,11500,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00066,MEDIUM,
CTX-00067,2022,Gujarat,Ahmedabad,violent,476,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00067,MEDIUM,
CTX-00068,2022,Maharashtra,Nashik,other,10987,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00068,MEDIUM,
CTX-00069,2023,Karnataka,Bengaluru,property,20837,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00069,MEDIUM,
CTX-00070,2024,Maharashtra,Pune,cyber-related,12493,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00070,MEDIUM,
CTX-00071,2022,Maharashtra,Nagpur,property,16606,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00071,MEDIUM,
CTX-00072,2024,West Bengal,Kolkata,theft,7591,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00072,MEDIUM,
CTX-00073,2024,Telangana,Hyderabad,violent,15821,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00073,MEDIUM,
CTX-00074,2022,Maharashtra,Mumbai,cyber-related,15999,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00074,MEDIUM,
CTX-00075,2022,Maharashtra,Nashik,other,11826,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00075,MEDIUM,
CTX-00076,2024,Maharashtra,Nashik,economic,17005,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00076,MEDIUM,
CTX-00077,2022,West Bengal,Kolkata,property,17101,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00077,MEDIUM,
CTX-00078,2024,Madhya Pradesh,Indore,cyber-related,24263,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00078,MEDIUM,
CTX-00079,2024,Maharashtra,Pune,fraud,3727,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00079,MEDIUM,
CTX-00080,2023,Maharashtra,Pune,property,17475,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00080,MEDIUM,
CTX-00081,2022,Delhi,Delhi,property,12950,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00081,MEDIUM,
CTX-00082,2024,Gujarat,Ahmedabad,theft,19853,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00082,MEDIUM,
CTX-00083,2023,Karnataka,Bengaluru,violent,10178,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00083,MEDIUM,
CTX-00084,2024,Maharashtra,Mumbai,economic,10352,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00084,MEDIUM,
CTX-00085,2024,Maharashtra,Nagpur,other,3530,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00085,MEDIUM,
CTX-00086,2023,Maharashtra,Pune,fraud,12103,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00086,MEDIUM,
CTX-00087,2024,West Bengal,Kolkata,theft,13486,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00087,MEDIUM,
CTX-00088,2024,Maharashtra,Nagpur,cyber-related,15055,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00088,MEDIUM,
CTX-00089,2024,Gujarat,Ahmedabad,cyber-related,6843,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00089,MEDIUM,
CTX-00090,2024,Gujarat,Ahmedabad,other,20199,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00090,MEDIUM,
CTX-00091,2024,Maharashtra,Nashik,property,1896,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00091,MEDIUM,
CTX-00092,2024,Telangana,Hyderabad,violent,11080,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00092,MEDIUM,
CTX-00093,2023,Maharashtra,Nagpur,fraud,23416,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00093,MEDIUM,
CTX-00094,2024,Madhya Pradesh,Indore,violent,23800,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00094,MEDIUM,
CTX-00095,2022,Telangana,Hyderabad,violent,4265,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00095,MEDIUM,
CTX-00096,2022,Madhya Pradesh,Indore,economic,13224,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00096,MEDIUM,
CTX-00097,2022,Maharashtra,Pune,violent,2153,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00097,MEDIUM,
CTX-00098,2024,Madhya Pradesh,Indore,violent,7983,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00098,MEDIUM,
CTX-00099,2022,Maharashtra,Nagpur,violent,11351,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00099,MEDIUM,
CTX-00100,2022,Madhya Pradesh,Indore,property,22347,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00100,MEDIUM,
CTX-00101,2022,West Bengal,Kolkata,property,15449,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00101,MEDIUM,
CTX-00102,2024,Karnataka,Bengaluru,theft,3469,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00102,MEDIUM,
CTX-00103,2024,Delhi,Delhi,property,12135,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00103,MEDIUM,
CTX-00104,2024,Maharashtra,Pune,other,12472,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00104,MEDIUM,
CTX-00105,2022,Madhya Pradesh,Indore,cyber-related,14828,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00105,MEDIUM,
CTX-00106,2023,Maharashtra,Mumbai,cyber-related,1281,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00106,MEDIUM,
CTX-00107,2022,Maharashtra,Mumbai,other,3706,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00107,MEDIUM,
CTX-00108,2023,Maharashtra,Nagpur,property,13605,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00108,MEDIUM,
CTX-00109,2022,Delhi,Delhi,property,3750,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00109,MEDIUM,
CTX-00110,2022,West Bengal,Kolkata,fraud,22276,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00110,MEDIUM,
CTX-00111,2022,Telangana,Hyderabad,cyber-related,5429,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00111,MEDIUM,
CTX-00112,2023,Gujarat,Ahmedabad,fraud,892,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00112,MEDIUM,
CTX-00113,2022,West Bengal,Kolkata,economic,5778,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00113,MEDIUM,
CTX-00114,2023,Madhya Pradesh,Indore,property,15588,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00114,MEDIUM,
CTX-00115,2024,Delhi,Delhi,violent,18813,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00115,MEDIUM,
CTX-00116,2022,Gujarat,Ahmedabad,fraud,15748,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00116,MEDIUM,
CTX-00117,2022,Maharashtra,Nashik,other,18341,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00117,MEDIUM,
CTX-00118,2023,Delhi,Delhi,violent,12380,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00118,MEDIUM,
CTX-00119,2023,Maharashtra,Mumbai,violent,17908,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00119,MEDIUM,
CTX-00120,2024,Telangana,Hyderabad,violent,10563,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00120,MEDIUM,
CTX-00121,2023,Maharashtra,Nashik,property,22184,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00121,MEDIUM,
CTX-00122,2022,Madhya Pradesh,Indore,property,20996,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00122,MEDIUM,
CTX-00123,2022,Telangana,Hyderabad,violent,14670,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00123,MEDIUM,
CTX-00124,2022,Delhi,Delhi,theft,17548,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00124,MEDIUM,
CTX-00125,2022,Delhi,Delhi,property,16250,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00125,MEDIUM,
CTX-00126,2024,Telangana,Hyderabad,other,9633,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00126,MEDIUM,
CTX-00127,2023,Delhi,Delhi,economic,18824,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00127,MEDIUM,
CTX-00128,2023,Telangana,Hyderabad,property,23415,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00128,MEDIUM,
CTX-00129,2023,Maharashtra,Nagpur,violent,7570,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00129,MEDIUM,
CTX-00130,2023,Delhi,Delhi,theft,3691,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00130,MEDIUM,
CTX-00131,2022,Delhi,Delhi,cyber-related,16380,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00131,MEDIUM,
CTX-00132,2022,Delhi,Delhi,cyber-related,18822,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00132,MEDIUM,
CTX-00133,2024,Gujarat,Ahmedabad,fraud,9639,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00133,MEDIUM,
CTX-00134,2023,Karnataka,Bengaluru,cyber-related,21923,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00134,MEDIUM,
CTX-00135,2023,Maharashtra,Mumbai,fraud,24705,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00135,MEDIUM,
CTX-00136,2024,West Bengal,Kolkata,economic,3500,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00136,MEDIUM,
CTX-00137,2024,Maharashtra,Nagpur,economic,22039,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00137,MEDIUM,
CTX-00138,2022,Maharashtra,Nashik,property,12375,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00138,MEDIUM,
CTX-00139,2022,Gujarat,Ahmedabad,violent,10862,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00139,MEDIUM,
CTX-00140,2022,Maharashtra,Nagpur,other,16973,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00140,MEDIUM,
CTX-00141,2023,Maharashtra,Nagpur,property,8273,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00141,MEDIUM,
CTX-00142,2023,Madhya Pradesh,Indore,economic,5585,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00142,MEDIUM,
CTX-00143,2024,Maharashtra,Mumbai,other,16075,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00143,MEDIUM,
CTX-00144,2023,Maharashtra,Nashik,other,11821,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00144,MEDIUM,
CTX-00145,2024,Maharashtra,Mumbai,property,1327,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00145,MEDIUM,
CTX-00146,2024,Karnataka,Bengaluru,property,20448,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00146,MEDIUM,
CTX-00147,2022,West Bengal,Kolkata,fraud,20847,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00147,MEDIUM,
CTX-00148,2024,Delhi,Delhi,property,2649,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00148,MEDIUM,
CTX-00149,2023,West Bengal,Kolkata,economic,6702,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00149,MEDIUM,
CTX-00150,2023,West Bengal,Kolkata,economic,10840,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00150,MEDIUM,
CTX-00151,2023,Telangana,Hyderabad,fraud,12903,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00151,MEDIUM,
CTX-00152,2023,Maharashtra,Pune,economic,10929,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00152,MEDIUM,
CTX-00153,2024,Delhi,Delhi,economic,13354,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00153,MEDIUM,
CTX-00154,2024,West Bengal,Kolkata,property,3660,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00154,MEDIUM,
CTX-00155,2023,Karnataka,Bengaluru,theft,7439,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00155,MEDIUM,
CTX-00156,2024,Telangana,Hyderabad,cyber-related,17698,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00156,MEDIUM,
CTX-00157,2023,Maharashtra,Mumbai,economic,1104,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00157,MEDIUM,
CTX-00158,2023,Maharashtra,Mumbai,fraud,2134,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00158,MEDIUM,
CTX-00159,2024,Karnataka,Bengaluru,fraud,6800,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00159,MEDIUM,
CTX-00160,2023,Telangana,Hyderabad,theft,11298,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00160,MEDIUM,
CTX-00161,2024,West Bengal,Kolkata,property,7452,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00161,MEDIUM,
CTX-00162,2023,Gujarat,Ahmedabad,economic,23449,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00162,MEDIUM,
CTX-00163,2023,West Bengal,Kolkata,property,7582,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00163,MEDIUM,
CTX-00164,2022,Telangana,Hyderabad,economic,19162,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00164,MEDIUM,
CTX-00165,2023,Gujarat,Ahmedabad,other,14366,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00165,MEDIUM,
CTX-00166,2024,Maharashtra,Mumbai,cyber-related,16061,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00166,MEDIUM,
CTX-00167,2022,Gujarat,Ahmedabad,violent,8184,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00167,MEDIUM,
CTX-00168,2022,West Bengal,Kolkata,violent,19562,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00168,MEDIUM,
CTX-00169,2023,Delhi,Delhi,violent,6355,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00169,MEDIUM,
CTX-00170,2023,Maharashtra,Pune,other,7876,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00170,MEDIUM,
CTX-00171,2024,Madhya Pradesh,Indore,other,19156,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00171,MEDIUM,
CTX-00172,2024,Madhya Pradesh,Indore,violent,6501,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00172,MEDIUM,
CTX-00173,2023,Delhi,Delhi,other,12044,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00173,MEDIUM,
CTX-00174,2022,West Bengal,Kolkata,violent,24463,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00174,MEDIUM,
CTX-00175,2022,Telangana,Hyderabad,cyber-related,6696,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00175,MEDIUM,
CTX-00176,2022,Maharashtra,Nashik,property,6550,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00176,MEDIUM,
CTX-00177,2022,Karnataka,Bengaluru,theft,6098,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00177,MEDIUM,
CTX-00178,2022,Madhya Pradesh,Indore,economic,23097,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00178,MEDIUM,
CTX-00179,2024,Gujarat,Ahmedabad,economic,4116,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00179,MEDIUM,
CTX-00180,2022,Telangana,Hyderabad,violent,8642,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00180,MEDIUM,
CTX-00181,2023,West Bengal,Kolkata,violent,23084,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00181,MEDIUM,
CTX-00182,2024,Karnataka,Bengaluru,other,14575,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00182,MEDIUM,
CTX-00183,2022,Madhya Pradesh,Indore,other,5737,aggregate_count,false,DERIVED,01_NCRB_India_2023,aggregate-pattern-00183,MEDIUM,
