case_id,case_title,investigation_type,status,opened_at,description,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
CASE-00036,Synthetic investigation 0036,financial,closed,2025-03-26T20:02:47,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0036,Medium,synthetic-design,AUDIT-cases-CASE-00036
CASE-00037,Synthetic investigation 0037,communication,closed,2025-03-06T13:46:54,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0037,Medium,synthetic-design,AUDIT-cases-CASE-00037
CASE-00038,Synthetic investigation 0038,cyber,review,2025-03-26T18:13:25,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0038,Medium,synthetic-design,AUDIT-cases-CASE-00038
CASE-00039,Synthetic investigation 0039,physical,review,2025-01-24T02:33:01,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0039,Medium,synthetic-design,AUDIT-cases-CASE-00039
CASE-00040,Synthetic investigation 0040,mixed,review,2025-05-20T23:34:38,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0040,Medium,synthetic-design,AUDIT-cases-CASE-00040
CASE-00041,Synthetic investigation 0041,financial,review,2024-05-07T04:17:47,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0041,Medium,synthetic-design,AUDIT-cases-CASE-00041
CASE-00042,Synthetic investigation 0042,communication,closed,2024-05-21T03:14:13,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0042,Medium,synthetic-design,AUDIT-cases-CASE-00042
CASE-00043,Synthetic investigation 0043,cyber,review,2024-03-03T12:28:58,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0043,Medium,synthetic-design,AUDIT-cases-CASE-00043
CASE-00044,Synthetic investigation 0044,physical,open,2025-01-31T22:26:14,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0044,Medium,synthetic-design,AUDIT-cases-CASE-00044
CASE-00045,Synthetic investigation 0045,mixed,review,2025-05-17T01:46:44,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0045,Medium,synthetic-design,AUDIT-cases-CASE-00045
CASE-00046,Synthetic investigation 0046,financial,open,2024-05-15T07:52:05,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0046,Medium,synthetic-design,AUDIT-cases-CASE-00046
CASE-00047,Synthetic investigation 0047,communication,open,2024-12-04T03:08:42,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0047,Medium,synthetic-design,AUDIT-cases-CASE-00047
CASE-00048,Synthetic investigation 0048,cyber,review,2025-04-27T21:18:38,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0048,Medium,synthetic-design,AUDIT-cases-CASE-00048
CASE-00049,Synthetic investigation 0049,physical,open,2024-10-07T12:44:39,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0049,Medium,synthetic-design,AUDIT-cases-CASE-00049
CASE-00050,Synthetic investigation 0050,mixed,open,2024-10-07T05:36:28,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0050,Medium,synthetic-design,AUDIT-cases-CASE-00050
CASE-00051,Synthetic investigation 0051,financial,review,2024-06-16T22:48:17,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0051,Medium,synthetic-design,AUDIT-cases-CASE-00051
CASE-00052,Synthetic investigation 0052,communication,open,2024-02-26T20:14:24,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0052,Medium,synthetic-design,AUDIT-cases-CASE-00052
CASE-00053,Synthetic investigation 0053,cyber,open,2025-05-07T16:58:16,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0053,Medium,synthetic-design,AUDIT-cases-CASE-00053
CASE-00054,Synthetic investigation 0054,physical,closed,2025-05-19T15:20:46,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0054,Medium,synthetic-design,AUDIT-cases-CASE-00054
CASE-00055,Synthetic investigation 0055,mixed,closed,2025-06-30T04:45:39,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0055,Medium,synthetic-design,AUDIT-cases-CASE-00055
CASE-00056,Synthetic investigation 0056,financial,open,2024-05-16T11:15:40,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0056,Medium,synthetic-design,AUDIT-cases-CASE-00056
CASE-00057,Synthetic investigation 0057,communication,open,2024-10-28T16:42:10,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0057,Medium,synthetic-design,AUDIT-cases-CASE-00057
CASE-00058,Synthetic investigation 0058,cyber,review,2024-10-30T10:23:45,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0058,Medium,synthetic-design,AUDIT-cases-CASE-00058
CASE-00059,Synthetic investigation 0059,physical,review,2025-05-27T05:29:09,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0059,Medium,synthetic-design,AUDIT-cases-CASE-00059
CASE-00060,Synthetic investigation 0060,mixed,closed,2024-11-12T03:36:44,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0060,Medium,synthetic-design,AUDIT-cases-CASE-00060
CASE-00061,Synthetic investigation 0061,financial,open,2024-02-09T19:25:22,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0061,Medium,synthetic-design,AUDIT-cases-CASE-00061
CASE-00062,Synthetic investigation 0062,communication,closed,2024-05-26T20:44:49,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0062,Medium,synthetic-design,AUDIT-cases-CASE-00062
CASE-00063,Synthetic investigation 0063,cyber,review,2025-02-20T01:21:56,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0063,Medium,synthetic-design,AUDIT-cases-CASE-00063
CASE-00064,Synthetic investigation 0064,physical,review,2025-06-16T19:20:03,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0064,Medium,synthetic-design,AUDIT-cases-CASE-00064
CASE-00065,Synthetic investigation 0065,mixed,closed,2025-04-07T10:36:29,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0065,Medium,synthetic-design,AUDIT-cases-CASE-00065
CASE-00066,Synthetic investigation 0066,financial,review,2024-03-26T22:08:26,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0066,Medium,synthetic-design,AUDIT-cases-CASE-00066
CASE-00067,Synthetic investigation 0067,communication,review,2025-05-15T12:16:38,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0067,Medium,synthetic-design,AUDIT-cases-CASE-00067
CASE-00068,Synthetic investigation 0068,cyber,review,2025-01-03T10:28:55,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0068,Medium,synthetic-design,AUDIT-cases-CASE-00068
CASE-00069,Synthetic investigation 0069,physical,review,2024-07-30T20:11:35,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0069,Medium,synthetic-design,AUDIT-cases-CASE-00069
CASE-00070,Synthetic investigation 0070,mixed,open,2024-03-12T14:28:19,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0070,Medium,synthetic-design,AUDIT-cases-CASE-00070
CASE-00071,Synthetic investigation 0071,financial,closed,2025-03-14T19:29:25,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0071,Medium,synthetic-design,AUDIT-cases-CASE-00071
CASE-00072,Synthetic investigation 0072,communication,review,2024-12-18T12:59:34,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0072,Medium,synthetic-design,AUDIT-cases-CASE-00072
CASE-00073,Synthetic investigation 0073,cyber,closed,2024-09-13T19:49:41,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0073,Medium,synthetic-design,AUDIT-cases-CASE-00073
CASE-00074,Synthetic investigation 0074,physical,closed,2024-05-12T02:32:35,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0074,Medium,synthetic-design,AUDIT-cases-CASE-00074
CASE-00075,Synthetic investigation 0075,mixed,closed,2025-04-19T23:00:55,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0075,Medium,synthetic-design,AUDIT-cases-CASE-00075
CASE-00076,Synthetic investigation 0076,financial,closed,2024-10-22T07:44:01,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0076,Medium,synthetic-design,AUDIT-cases-CASE-00076
CASE-00077,Synthetic investigation 0077,communication,open,2024-03-06T23:13:40,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0077,Medium,synthetic-design,AUDIT-cases-CASE-00077
CASE-00078,Synthetic investigation 0078,cyber,closed,2025-05-26T15:46:01,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0078,Medium,synthetic-design,AUDIT-cases-CASE-00078
CASE-00079,Synthetic investigation 0079,physical,review,2024-05-21T12:51:14,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0079,Medium,synthetic-design,AUDIT-cases-CASE-00079
CASE-00080,Synthetic investigation 0080,mixed,closed,2024-09-09T23:17:23,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0080,Medium,synthetic-design,AUDIT-cases-CASE-00080
CASE-00081,Synthetic investigation 0081,financial,open,2024-06-17T11:21:30,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0081,Medium,synthetic-design,AUDIT-cases-CASE-00081
CASE-00082,Synthetic investigation 0082,communication,open,2024-01-16T01:11:31,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0082,Medium,synthetic-design,AUDIT-cases-CASE-00082
CASE-00083,Synthetic investigation 0083,cyber,closed,2025-06-27T10:19:53,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0083,Medium,synthetic-design,AUDIT-cases-CASE-00083
CASE-00084,Synthetic investigation 0084,physical,closed,2024-04-25T01:24:33,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0084,Medium,synthetic-design,AUDIT-cases-CASE-00084
CASE-00085,Synthetic investigation 0085,mixed,open,2024-03-16T22:17:52,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0085,Medium,synthetic-design,AUDIT-cases-CASE-00085
CASE-00086,Synthetic investigation 0086,financial,open,2025-02-24T14:00:50,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0086,Medium,synthetic-design,AUDIT-cases-CASE-00086
CASE-00087,Synthetic investigation 0087,communication,open,2024-10-16T05:23:33,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0087,Medium,synthetic-design,AUDIT-cases-CASE-00087
CASE-00088,Synthetic investigation 0088,cyber,review,2025-05-12T23:59:05,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0088,Medium,synthetic-design,AUDIT-cases-CASE-00088
CASE-00089,Synthetic investigation 0089,physical,closed,2024-06-15T08:40:59,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0089,Medium,synthetic-design,AUDIT-cases-CASE-00089
CASE-00090,Synthetic investigation 0090,mixed,closed,2024-09-01T01:11:03,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0090,Medium,synthetic-design,AUDIT-cases-CASE-00090
CASE-00091,Synthetic investigation 0091,financial,open,2025-06-06T14:03:36,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0091,Medium,synthetic-design,AUDIT-cases-CASE-00091
CASE-00092,Synthetic investigation 0092,communication,closed,2025-04-10T06:00:28,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0092,Medium,synthetic-design,AUDIT-cases-CASE-00092
CASE-00093,Synthetic investigation 0093,cyber,open,2024-12-31T20:15:01,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0093,Medium,synthetic-design,AUDIT-cases-CASE-00093
CASE-00094,Synthetic investigation 0094,physical,open,2024-10-19T10:40:55,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0094,Medium,synthetic-design,AUDIT-cases-CASE-00094
CASE-00095,Synthetic investigation 0095,mixed,closed,2024-01-17T11:59:31,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0095,Medium,synthetic-design,AUDIT-cases-CASE-00095
CASE-00096,Synthetic investigation 0096,financial,closed,2025-04-18T12:26:00,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0096,Medium,synthetic-design,AUDIT-cases-CASE-00096
CASE-00097,Synthetic investigation 0097,communication,review,2024-08-22T03:20:15,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0097,Medium,synthetic-design,AUDIT-cases-CASE-00097
CASE-00098,Synthetic investigation 0098,cyber,closed,2025-07-14T21:52:40,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0098,Medium,synthetic-design,AUDIT-cases-CASE-00098
CASE-00099,Synthetic investigation 0099,physical,closed,2024-06-24T22:22:12,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0099,Medium,synthetic-design,AUDIT-cases-CASE-00099
CASE-00100,Synthetic investigation 0100,mixed,open,2024-12-11T18:00:50,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0100,Medium,synthetic-design,AUDIT-cases-CASE-00100
CASE-00101,Synthetic investigation 0101,financial,review,2024-01-02T23:24:38,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0101,Medium,synthetic-design,AUDIT-cases-CASE-00101
CASE-00102,Synthetic investigation 0102,communication,closed,2025-06-27T01:51:45,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0102,Medium,synthetic-design,AUDIT-cases-CASE-00102
CASE-00103,Synthetic investigation 0103,cyber,review,2024-09-03T20:03:40,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0103,Medium,synthetic-design,AUDIT-cases-CASE-00103
CASE-00104,Synthetic investigation 0104,physical,open,2024-02-26T10:46:17,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0104,Medium,synthetic-design,AUDIT-cases-CASE-00104
CASE-00105,Synthetic investigation 0105,mixed,closed,2025-04-04T12:40:29,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0105,Medium,synthetic-design,AUDIT-cases-CASE-00105
CASE-00106,Synthetic investigation 0106,financial,open,2025-06-13T19:16:17,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0106,Medium,synthetic-design,AUDIT-cases-CASE-00106
CASE-00107,Synthetic investigation 0107,communication,review,2024-09-06T09:33:12,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0107,Medium,synthetic-design,AUDIT-cases-CASE-00107
CASE-00108,Synthetic investigation 0108,cyber,open,2025-02-05T16:37:48,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0108,Medium,synthetic-design,AUDIT-cases-CASE-00108
CASE-00109,Synthetic investigation 0109,physical,closed,2024-12-21T03:02:18,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0109,Medium,synthetic-design,AUDIT-cases-CASE-00109
CASE-00110,Synthetic investigation 0110,mixed,review,2024-08-21T18:21:48,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0110,Medium,synthetic-design,AUDIT-cases-CASE-00110
CASE-00111,Synthetic investigation 0111,financial,open,2024-06-11T02:22:36,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0111,Medium,synthetic-design,AUDIT-cases-CASE-00111
CASE-00112,Synthetic investigation 0112,communication,closed,2025-04-28T06:06:15,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0112,Medium,synthetic-design,AUDIT-cases-CASE-00112
CASE-00113,Synthetic investigation 0113,cyber,review,2025-01-28T23:06:42,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0113,Medium,synthetic-design,AUDIT-cases-CASE-00113
CASE-00114,Synthetic investigation 0114,physical,open,2025-05-03T06:43:54,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0114,Medium,synthetic-design,AUDIT-cases-CASE-00114
CASE-00115,Synthetic investigation 0115,mixed,open,2025-05-17T07:46:51,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0115,Medium,synthetic-design,AUDIT-cases-CASE-00115
CASE-00116,Synthetic investigation 0116,financial,closed,2025-03-08T09:05:08,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0116,Medium,synthetic-design,AUDIT-cases-CASE-00116
CASE-00117,Synthetic investigation 0117,communication,open,2025-05-07T09:21:36,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0117,Medium,synthetic-design,AUDIT-cases-CASE-00117
CASE-00118,Synthetic investigation 0118,cyber,open,2025-03-07T18:29:36,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0118,Medium,synthetic-design,AUDIT-cases-CASE-00118
CASE-00119,Synthetic investigation 0119,physical,open,2024-05-04T22:33:56,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0119,Medium,synthetic-design,AUDIT-cases-CASE-00119
CASE-00120,Synthetic investigation 0120,mixed,closed,2024-12-01T22:53:35,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-MIXED-0120,Medium,synthetic-design,AUDIT-cases-CASE-00120
CASE-00121,Synthetic investigation 0121,financial,closed,2025-06-12T23:42:54,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-FIN-0121,Medium,synthetic-design,AUDIT-cases-CASE-00121
CASE-00122,Synthetic investigation 0122,communication,closed,2025-06-19T17:02:02,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-COM-0122,Medium,synthetic-design,AUDIT-cases-CASE-00122
CASE-00123,Synthetic investigation 0123,cyber,review,2024-02-21T07:00:49,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-CYBER-0123,Medium,synthetic-design,AUDIT-cases-CASE-00123
CASE-00124,Synthetic investigation 0124,physical,review,2025-04-27T02:25:54,Synthetic investigation case for TraceX analytical testing.,SYNTHETIC,,,true,,SCN-PHYS-0124,Medium,synthetic-design,AUDIT-cases-CASE-00124
