relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,timestamp,relationship_origin,source_dataset,source_record_reference,reason,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,relationship_type_tag,Audit_Reference
REL-0000012,Person,PER-046549,OWNS,Account,ACC-000009,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000012
REL-0000013,Person,PER-046549,OWNS,Account,ACC-028547,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000013
REL-0000014,Person,PER-004433,OWNS,Account,ACC-000010,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000014
REL-0000015,Person,PER-016404,OWNS,Account,ACC-000011,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000015
REL-0000016,Person,PER-016404,OWNS,Account,ACC-008157,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000016
REL-0000017,Person,PER-007500,OWNS,Account,ACC-000012,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000017
REL-0000018,Person,PER-015885,OWNS,Account,ACC-000013,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000018
REL-0000019,Person,PER-007695,OWNS,Account,ACC-000014,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000019
REL-0000020,Person,PER-007695,OWNS,Account,ACC-000227,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000020
REL-0000021,Person,PER-007695,OWNS,Account,ACC-018340,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000021
REL-0000022,Person,PER-036085,OWNS,Account,ACC-000015,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000022
REL-0000023,Person,PER-004720,OWNS,Account,ACC-000016,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000023
REL-0000024,Person,PER-004720,OWNS,Account,ACC-000296,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000024
REL-0000025,Person,PER-004720,OWNS,Account,ACC-029258,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000025
REL-0000026,Person,PER-004720,OWNS,Account,ACC-029553,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000026
REL-0000027,Person,PER-014193,OWNS,Account,ACC-000017,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000027
REL-0000028,Person,PER-014193,OWNS,Account,ACC-018926,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000028
REL-0000029,Person,PER-014193,OWNS,Account,ACC-029468,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000029
REL-0000030,Person,PER-031215,OWNS,Account,ACC-000018,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000030
REL-0000031,Person,PER-031215,OWNS,Account,ACC-023009,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000031
REL-0000032,Person,PER-006041,OWNS,Account,ACC-000019,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000032
REL-0000033,Person,PER-006041,OWNS,Account,ACC-022086,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000033
REL-0000034,Person,PER-002920,OWNS,Account,ACC-000020,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000034
REL-0000035,Person,PER-003395,OWNS,Account,ACC-000021,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000035
REL-0000036,Person,PER-003395,OWNS,Account,ACC-026575,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000036
REL-0000037,Person,PER-015344,OWNS,Account,ACC-000022,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000037
REL-0000038,Person,PER-015344,OWNS,Account,ACC-011233,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000038
REL-0000039,Person,PER-028559,OWNS,Account,ACC-000023,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000039
REL-0000040,Person,PER-028559,OWNS,Account,ACC-016270,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000040
REL-0000041,Person,PER-007597,OWNS,Account,ACC-000024,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000041
REL-0000042,Person,PER-029274,OWNS,Account,ACC-000025,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000042
REL-0000043,Person,PER-028380,OWNS,Account,ACC-000026,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000043
REL-0000044,Person,PER-006158,OWNS,Account,ACC-000027,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000044
REL-0000045,Person,PER-006158,OWNS,Account,ACC-013285,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000045
REL-0000046,Person,PER-006158,OWNS,Account,ACC-022559,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000046
REL-0000047,Person,PER-023325,OWNS,Account,ACC-000028,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000047
REL-0000048,Person,PER-020933,OWNS,Account,ACC-000029,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000048
REL-0000049,Person,PER-029632,OWNS,Account,ACC-000030,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000049
REL-0000050,Person,PER-034249,OWNS,Account,ACC-000031,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000050
REL-0000051,Person,PER-034249,OWNS,Account,ACC-005348,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000051
REL-0000052,Person,PER-008229,OWNS,Account,ACC-000032,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000052
REL-0000053,Person,PER-008229,OWNS,Account,ACC-027507,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000053
REL-0000054,Person,PER-011560,OWNS,Account,ACC-000033,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000054
REL-0000055,Person,PER-048257,OWNS,Account,ACC-000034,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000055
REL-0000056,Person,PER-024001,OWNS,Account,ACC-000035,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000056
REL-0000057,Person,PER-005518,OWNS,Account,ACC-000036,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000057
REL-0000058,Person,PER-005518,OWNS,Account,ACC-013369,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000058
REL-0000059,Person,PER-005518,OWNS,Account,ACC-017895,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000059
REL-0000060,Person,PER-013157,OWNS,Account,ACC-000037,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000060
REL-0000061,Person,PER-048490,OWNS,Account,ACC-000039,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000061
REL-0000062,Person,PER-044482,OWNS,Account,ACC-000040,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000062
REL-0000063,Person,PER-003603,OWNS,Account,ACC-000041,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000063
REL-0000064,Person,PER-003603,OWNS,Account,ACC-028655,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000064
REL-0000065,Person,PER-014681,OWNS,Account,ACC-000042,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000065
REL-0000066,Person,PER-028669,OWNS,Account,ACC-000043,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000066
REL-0000067,Person,PER-019164,OWNS,Account,ACC-000044,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000067
REL-0000068,Person,PER-045478,OWNS,Account,ACC-000045,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000068
REL-0000069,Person,PER-045478,OWNS,Account,ACC-026617,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000069
REL-0000070,Person,PER-048893,OWNS,Account,ACC-000046,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000070
REL-0000071,Person,PER-048893,OWNS,Account,ACC-019175,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000071
REL-0000072,Person,PER-031495,OWNS,Account,ACC-000047,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000072
REL-0000073,Person,PER-031495,OWNS,Account,ACC-006582,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000073
REL-0000074,Person,PER-021029,OWNS,Account,ACC-000048,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000074
REL-0000075,Person,PER-021029,OWNS,Account,ACC-008575,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000075
REL-0000076,Person,PER-037996,OWNS,Account,ACC-000049,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000076
REL-0000077,Person,PER-037996,OWNS,Account,ACC-014456,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000077
REL-0000078,Person,PER-047220,OWNS,Account,ACC-000050,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000078
REL-0000079,Person,PER-047220,OWNS,Account,ACC-007215,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000079
REL-0000080,Person,PER-026639,OWNS,Account,ACC-000051,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000080
REL-0000081,Person,PER-023244,OWNS,Account,ACC-000052,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000081
REL-0000082,Person,PER-023244,OWNS,Account,ACC-013971,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000082
REL-0000083,Person,PER-023244,OWNS,Account,ACC-015892,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000083
REL-0000084,Person,PER-045256,OWNS,Account,ACC-000053,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000084
REL-0000085,Person,PER-045256,OWNS,Account,ACC-023192,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000085
REL-0000086,Person,PER-045256,OWNS,Account,ACC-027959,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000086
REL-0000087,Person,PER-019575,OWNS,Account,ACC-000054,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000087
REL-0000088,Person,PER-019575,OWNS,Account,ACC-012761,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000088
REL-0000089,Person,PER-019489,OWNS,Account,ACC-000055,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000089
REL-0000090,Person,PER-019489,OWNS,Account,ACC-006472,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000090
REL-0000091,Person,PER-019489,OWNS,Account,ACC-014355,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000091
REL-0000092,Person,PER-019489,OWNS,Account,ACC-023981,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000092
REL-0000093,Person,PER-035632,OWNS,Account,ACC-000056,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000093
REL-0000094,Person,PER-044191,OWNS,Account,ACC-000058,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000094
REL-0000095,Person,PER-044191,OWNS,Account,ACC-003471,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000095
REL-0000096,Person,PER-044191,OWNS,Account,ACC-019468,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000096
REL-0000097,Person,PER-044391,OWNS,Account,ACC-000059,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000097
REL-0000098,Person,PER-044391,OWNS,Account,ACC-026328,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000098
REL-0000099,Person,PER-015205,OWNS,Account,ACC-000060,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000099
REL-0000100,Person,PER-013887,OWNS,Account,ACC-000061,,SYNTHETIC,,,Synthetic account ownership.,true,,,Medium,synthetic-design,design_synthetic,AUDIT-relationships-REL-0000100
