network_event_id,timestamp,source_device_id,destination_device_id,event_type,protocol_or_socket,request_size,response_size,location_id,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
NET-00000074,2025-07-09T03:06:54,DEV-005623,DEV-022044,session,TCP/22,28076,105610,LOC-009349,SYNTHETIC,,,true,,SCN-CYBER-0293,Medium,synthetic-design,AUDIT-network_events-NET-00000074
NET-00000075,2024-04-03T02:38:16,DEV-012630,DEV-027752,connection,UDP/53,84681,12476,LOC-005724,SYNTHETIC,,,true,,SCN-CYBER-0298,Medium,synthetic-design,AUDIT-network_events-NET-00000075
NET-00000076,2025-11-08T14:14:09,DEV-029484,DEV-005179,response,TCP/22,37206,464668,LOC-009027,SYNTHETIC,,,true,,SCN-MIXED-0080,Medium,synthetic-design,AUDIT-network_events-NET-00000076
NET-00000077,2024-01-07T05:52:27,DEV-001682,DEV-026232,session,UDP/53,43875,399609,LOC-008263,SYNTHETIC,,,true,,SCN-CYBER-0303,Medium,synthetic-design,AUDIT-network_events-NET-00000077
NET-00000078,2024-06-03T08:21:34,DEV-023426,DEV-023657,response,TCP/80,95141,135703,LOC-002489,SYNTHETIC,,,true,,SCN-CYBER-0308,Medium,synthetic-design,AUDIT-network_events-NET-00000078
NET-00000079,2025-01-02T08:00:45,DEV-017231,DEV-002076,session,UDP/53,75638,270572,LOC-002878,SYNTHETIC,,,true,,SCN-CYBER-0313,Medium,synthetic-design,AUDIT-network_events-NET-00000079
NET-00000080,2024-08-28T18:19:34,DEV-010881,DEV-005392,response,TCP/22,460,299347,LOC-006268,SYNTHETIC,,,true,,SCN-CYBER-0318,Medium,synthetic-design,AUDIT-network_events-NET-00000080
NET-00000081,2025-10-27T06:19:30,DEV-012666,DEV-000901,session,TCP/22,66809,330116,LOC-005763,SYNTHETIC,,,true,,SCN-MIXED-0085,Medium,synthetic-design,AUDIT-network_events-NET-00000081
NET-00000082,2024-03-23T17:34:20,DEV-012727,DEV-030337,connection,TCP/443,96141,217925,LOC-000222,SYNTHETIC,,,true,,SCN-CYBER-0323,Medium,synthetic-design,AUDIT-network_events-NET-00000082
NET-00000083,2025-08-05T06:13:06,DEV-016596,DEV-002773,connection,UDP/53,20313,391174,LOC-005306,SYNTHETIC,,,true,,SCN-CYBER-0328,Medium,synthetic-design,AUDIT-network_events-NET-00000083
NET-00000084,2024-03-31T22:09:46,DEV-000282,DEV-003353,connection,TCP/22,3816,366611,LOC-006302,SYNTHETIC,,,true,,SCN-CYBER-0333,Medium,synthetic-design,AUDIT-network_events-NET-00000084
NET-00000085,2024-03-17T21:02:54,DEV-001595,DEV-030764,response,TCP/80,35066,82333,LOC-003506,SYNTHETIC,,,true,,SCN-CYBER-0338,Medium,synthetic-design,AUDIT-network_events-NET-00000085
NET-00000086,2025-04-17T13:53:58,DEV-012238,DEV-021196,response,TCP/443,70389,183740,LOC-003890,SYNTHETIC,,,true,,SCN-MIXED-0090,Medium,synthetic-design,AUDIT-network_events-NET-00000086
NET-00000087,2024-09-08T17:07:44,DEV-024741,DEV-009706,session,TCP/22,10174,314441,LOC-008827,SYNTHETIC,,,true,,SCN-CYBER-0343,Medium,synthetic-design,AUDIT-network_events-NET-00000087
NET-00000088,2024-04-26T06:29:18,DEV-003423,DEV-007862,response,UDP/53,11960,50715,LOC-002145,SYNTHETIC,,,true,,SCN-CYBER-0348,Medium,synthetic-design,AUDIT-network_events-NET-00000088
NET-00000089,2025-08-28T12:04:56,DEV-018304,DEV-028792,response,TCP/443,34339,337650,LOC-002714,SYNTHETIC,,,true,,SCN-CYBER-0353,Medium,synthetic-design,AUDIT-network_events-NET-00000089
NET-00000090,2025-09-29T21:04:26,DEV-020078,DEV-004617,session,TCP/443,68608,211378,LOC-005632,SYNTHETIC,,,true,,SCN-CYBER-0358,Medium,synthetic-design,AUDIT-network_events-NET-00000090
NET-00000091,2025-10-24T12:35:08,DEV-010557,DEV-010875,session,UDP/53,57531,412036,LOC-001330,SYNTHETIC,,,true,,SCN-MIXED-0095,Medium,synthetic-design,AUDIT-network_events-NET-00000091
NET-00000092,2024-02-20T10:02:20,DEV-005094,DEV-025708,connection,TCP/443,60724,499518,LOC-007724,SYNTHETIC,,,true,,SCN-CYBER-0363,Medium,synthetic-design,AUDIT-network_events-NET-00000092
NET-00000093,2025-01-02T17:17:53,DEV-030929,DEV-026723,connection,TCP/22,81236,217692,LOC-000068,SYNTHETIC,,,true,,SCN-CYBER-0368,Medium,synthetic-design,AUDIT-network_events-NET-00000093
NET-00000094,2025-09-18T10:55:35,DEV-011366,DEV-018565,request,TCP/443,87599,203652,LOC-008296,SYNTHETIC,,,true,,SCN-CYBER-0373,Medium,synthetic-design,AUDIT-network_events-NET-00000094
NET-00000095,2025-09-02T14:54:11,DEV-022876,DEV-015838,response,TCP/443,80570,319908,LOC-002760,SYNTHETIC,,,true,,SCN-CYBER-0378,Medium,synthetic-design,AUDIT-network_events-NET-00000095
NET-00000096,2024-07-23T15:10:10,DEV-006944,DEV-020983,response,TCP/22,48583,459859,LOC-004005,SYNTHETIC,,,true,,SCN-MIXED-0100,Medium,synthetic-design,AUDIT-network_events-NET-00000096
NET-00000097,2024-07-25T22:40:14,DEV-006606,DEV-009990,connection,TCP/80,73818,499844,LOC-009136,SYNTHETIC,,,true,,SCN-CYBER-0383,Medium,synthetic-design,AUDIT-network_events-NET-00000097
NET-00000098,2025-02-24T23:05:25,DEV-001569,DEV-017748,response,UDP/53,69934,490974,LOC-000839,SYNTHETIC,,,true,,SCN-CYBER-0388,Medium,synthetic-design,AUDIT-network_events-NET-00000098
NET-00000099,2025-05-14T22:34:09,DEV-008456,DEV-013339,session,TCP/443,8906,309874,LOC-000005,SYNTHETIC,,,true,,SCN-CYBER-0393,Medium,synthetic-design,AUDIT-network_events-NET-00000099
NET-00000100,2025-03-14T00:54:56,DEV-001618,DEV-000131,session,TCP/22,76532,65305,LOC-007053,SYNTHETIC,,,true,,SCN-CYBER-0398,Medium,synthetic-design,AUDIT-network_events-NET-00000100
