transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,transaction_type,status,anomaly_flag,anomaly_score,ml_pattern_metadata,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
TXN-00000021,2024-07-28T04:08:35,ACC-026197,ACC-003035,4545.82,INR,deposit,completed,true,0.956175,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0025,Medium,synthetic-design,AUDIT-transactions-TXN-00000021
TXN-00000022,2024-01-19T16:07:04,ACC-026797,ACC-008802,444.75,INR,transfer,pending,true,0.964634,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0081,Medium,synthetic-design,AUDIT-transactions-TXN-00000022
TXN-00000023,2025-03-24T04:01:57,ACC-007609,ACC-008363,6138.0,INR,transfer,pending,false,0.811277,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0086,Medium,synthetic-design,AUDIT-transactions-TXN-00000023
TXN-00000024,2025-09-06T12:43:26,ACC-024275,ACC-019425,172.62,INR,payment,completed,true,0.918361,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0091,Medium,synthetic-design,AUDIT-transactions-TXN-00000024
TXN-00000025,2025-05-13T06:05:52,ACC-015870,ACC-027319,628.21,INR,deposit,completed,false,0.807384,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0096,Medium,synthetic-design,AUDIT-transactions-TXN-00000025
TXN-00000026,2024-10-27T12:48:28,ACC-007771,ACC-019797,738.9,INR,deposit,completed,false,0.81942,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0030,Medium,synthetic-design,AUDIT-transactions-TXN-00000026
TXN-00000027,2025-07-01T13:31:08,ACC-014667,ACC-013334,931.69,INR,deposit,pending,true,0.938184,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0101,Medium,synthetic-design,AUDIT-transactions-TXN-00000027
TXN-00000028,2024-07-28T19:47:35,ACC-011341,ACC-019599,383.65,INR,withdrawal,completed,true,0.888139,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0106,Medium,synthetic-design,AUDIT-transactions-TXN-00000028
TXN-00000029,2025-12-14T20:02:05,ACC-002658,ACC-021442,2538.86,INR,payment,completed,true,0.926664,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0111,Medium,synthetic-design,AUDIT-transactions-TXN-00000029
TXN-00000030,2024-03-08T14:46:57,ACC-012770,ACC-011659,821.3,INR,transfer,completed,true,0.943345,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0116,Medium,synthetic-design,AUDIT-transactions-TXN-00000030
TXN-00000031,2025-11-11T07:33:39,ACC-013839,ACC-004798,280.35,INR,payment,completed,true,0.866618,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0035,Medium,synthetic-design,AUDIT-transactions-TXN-00000031
TXN-00000032,2025-07-18T15:02:48,ACC-026623,ACC-024230,866.48,INR,transfer,completed,true,0.906062,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0121,Medium,synthetic-design,AUDIT-transactions-TXN-00000032
TXN-00000033,2025-12-05T17:03:37,ACC-010924,ACC-010572,2282.16,INR,withdrawal,pending,true,0.920711,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0126,Medium,synthetic-design,AUDIT-transactions-TXN-00000033
TXN-00000034,2024-11-18T03:20:40,ACC-004180,ACC-013085,525.82,INR,deposit,pending,true,0.86542,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0131,Medium,synthetic-design,AUDIT-transactions-TXN-00000034
TXN-00000035,2025-04-03T09:33:42,ACC-021378,ACC-008464,2091.81,INR,transfer,completed,true,0.8401,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0136,Medium,synthetic-design,AUDIT-transactions-TXN-00000035
TXN-00000036,2024-11-26T20:56:47,ACC-023597,ACC-012825,1475.76,INR,withdrawal,pending,true,0.98043,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0040,Medium,synthetic-design,AUDIT-transactions-TXN-00000036
TXN-00000037,2025-04-15T17:40:46,ACC-005146,ACC-014053,3486.43,INR,withdrawal,completed,false,0.815564,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0141,Medium,synthetic-design,AUDIT-transactions-TXN-00000037
TXN-00000038,2024-04-30T15:25:26,ACC-014562,ACC-018588,14474.9,INR,transfer,completed,true,0.964853,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0146,Medium,synthetic-design,AUDIT-transactions-TXN-00000038
TXN-00000039,2024-08-27T12:53:46,ACC-029500,ACC-018875,879.01,INR,withdrawal,completed,true,0.907457,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0151,Medium,synthetic-design,AUDIT-transactions-TXN-00000039
TXN-00000040,2024-02-20T17:34:48,ACC-023106,ACC-013437,2429.23,INR,payment,pending,true,0.970678,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0156,Medium,synthetic-design,AUDIT-transactions-TXN-00000040
TXN-00000041,2024-05-13T02:08:15,ACC-001211,ACC-002824,2127.91,INR,withdrawal,pending,true,0.895836,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0045,Medium,synthetic-design,AUDIT-transactions-TXN-00000041
TXN-00000042,2025-08-18T07:01:54,ACC-022549,ACC-017687,613.45,INR,withdrawal,completed,true,0.872695,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0161,Medium,synthetic-design,AUDIT-transactions-TXN-00000042
TXN-00000043,2024-07-17T13:47:17,ACC-001582,ACC-024479,4044.05,INR,payment,pending,true,0.877857,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0166,Medium,synthetic-design,AUDIT-transactions-TXN-00000043
TXN-00000044,2024-09-23T00:58:32,ACC-027874,ACC-004827,2864.52,INR,deposit,completed,true,0.945767,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0171,Medium,synthetic-design,AUDIT-transactions-TXN-00000044
TXN-00000045,2024-05-27T16:46:37,ACC-020953,ACC-016211,936.64,INR,withdrawal,completed,true,0.902172,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0176,Medium,synthetic-design,AUDIT-transactions-TXN-00000045
TXN-00000046,2025-09-23T23:39:39,ACC-000876,ACC-009392,2475.74,INR,payment,completed,true,0.860032,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0050,Medium,synthetic-design,AUDIT-transactions-TXN-00000046
TXN-00000047,2024-09-10T01:58:58,ACC-007899,ACC-004551,1817.12,INR,payment,completed,true,0.985824,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0181,Medium,synthetic-design,AUDIT-transactions-TXN-00000047
TXN-00000048,2024-12-06T16:13:08,ACC-024947,ACC-027171,278.14,INR,transfer,completed,true,0.842839,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0186,Medium,synthetic-design,AUDIT-transactions-TXN-00000048
TXN-00000049,2025-05-15T03:34:49,ACC-004841,ACC-003298,9070.19,INR,deposit,completed,true,0.929853,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0191,Medium,synthetic-design,AUDIT-transactions-TXN-00000049
TXN-00000050,2024-08-21T15:40:48,ACC-000418,ACC-010627,361.27,INR,deposit,pending,true,0.86364,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0196,Medium,synthetic-design,AUDIT-transactions-TXN-00000050
TXN-00000051,2024-06-13T13:57:05,ACC-017954,ACC-025246,751.57,INR,payment,completed,true,0.822841,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0055,Medium,synthetic-design,AUDIT-transactions-TXN-00000051
TXN-00000052,2024-09-13T15:43:33,ACC-023528,ACC-007681,4628.35,INR,transfer,pending,true,0.82413,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0201,Medium,synthetic-design,AUDIT-transactions-TXN-00000052
TXN-00000053,2024-03-04T04:48:53,ACC-024153,ACC-003933,481.6,INR,payment,completed,false,0.817692,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0206,Medium,synthetic-design,AUDIT-transactions-TXN-00000053
TXN-00000054,2024-04-14T13:54:31,ACC-003966,ACC-003128,6318.72,INR,payment,completed,true,0.855454,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0211,Medium,synthetic-design,AUDIT-transactions-TXN-00000054
TXN-00000055,2024-11-30T12:24:01,ACC-000118,ACC-010920,382.07,INR,withdrawal,pending,true,0.987315,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0216,Medium,synthetic-design,AUDIT-transactions-TXN-00000055
TXN-00000056,2024-03-06T17:22:37,ACC-001303,ACC-013349,298.85,INR,withdrawal,completed,true,0.984496,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0060,Medium,synthetic-design,AUDIT-transactions-TXN-00000056
TXN-00000057,2025-11-08T04:46:53,ACC-017134,ACC-014421,963.68,INR,transfer,completed,true,0.949741,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0221,Medium,synthetic-design,AUDIT-transactions-TXN-00000057
TXN-00000058,2025-07-18T06:21:12,ACC-003552,ACC-022568,942.35,INR,payment,completed,true,0.894598,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0226,Medium,synthetic-design,AUDIT-transactions-TXN-00000058
TXN-00000059,2025-10-09T08:58:36,ACC-025920,ACC-017617,1386.5,INR,deposit,pending,true,0.878987,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0231,Medium,synthetic-design,AUDIT-transactions-TXN-00000059
TXN-00000060,2024-08-11T08:18:32,ACC-000830,ACC-006729,4109.49,INR,transfer,completed,true,0.884827,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0236,Medium,synthetic-design,AUDIT-transactions-TXN-00000060
TXN-00000061,2025-02-09T21:09:26,ACC-019877,ACC-019398,1286.34,INR,deposit,pending,true,0.930922,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0065,Medium,synthetic-design,AUDIT-transactions-TXN-00000061
TXN-00000062,2025-08-31T01:44:04,ACC-005945,ACC-007124,1299.51,INR,deposit,completed,true,0.835678,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0241,Medium,synthetic-design,AUDIT-transactions-TXN-00000062
TXN-00000063,2025-02-10T13:28:09,ACC-002198,ACC-023076,7456.73,INR,deposit,completed,true,0.913481,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0246,Medium,synthetic-design,AUDIT-transactions-TXN-00000063
TXN-00000064,2024-01-26T17:26:17,ACC-029786,ACC-028908,2246.12,INR,deposit,completed,true,0.872027,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0251,Medium,synthetic-design,AUDIT-transactions-TXN-00000064
TXN-00000065,2024-05-14T12:57:08,ACC-023579,ACC-014812,1198.05,INR,payment,completed,true,0.929309,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0256,Medium,synthetic-design,AUDIT-transactions-TXN-00000065
TXN-00000066,2025-09-16T06:57:59,ACC-012294,ACC-010870,1467.71,INR,transfer,completed,true,0.877931,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0070,Medium,synthetic-design,AUDIT-transactions-TXN-00000066
TXN-00000067,2025-05-10T07:58:44,ACC-005508,ACC-009954,410.86,INR,transfer,completed,true,0.831895,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0261,Medium,synthetic-design,AUDIT-transactions-TXN-00000067
TXN-00000068,2025-09-02T05:30:36,ACC-013769,ACC-010091,1318.42,INR,withdrawal,pending,true,0.89555,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0266,Medium,synthetic-design,AUDIT-transactions-TXN-00000068
TXN-00000069,2024-02-16T20:34:02,ACC-014557,ACC-004105,456.34,INR,withdrawal,pending,true,0.944246,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0271,Medium,synthetic-design,AUDIT-transactions-TXN-00000069
TXN-00000070,2025-07-08T17:49:05,ACC-007714,ACC-013011,2309.09,INR,deposit,completed,true,0.962653,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0276,Medium,synthetic-design,AUDIT-transactions-TXN-00000070
TXN-00000071,2024-03-07T10:51:07,ACC-028314,ACC-020905,3723.46,INR,deposit,completed,true,0.924754,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0075,Medium,synthetic-design,AUDIT-transactions-TXN-00000071
TXN-00000072,2025-02-28T00:20:00,ACC-003709,ACC-007797,866.2,INR,deposit,completed,true,0.972796,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0281,Medium,synthetic-design,AUDIT-transactions-TXN-00000072
TXN-00000073,2025-03-11T19:22:23,ACC-014595,ACC-010443,3965.29,INR,withdrawal,pending,true,0.921263,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0286,Medium,synthetic-design,AUDIT-transactions-TXN-00000073
TXN-00000074,2025-08-19T03:37:31,ACC-005801,ACC-005099,2258.88,INR,payment,pending,true,0.952795,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0291,Medium,synthetic-design,AUDIT-transactions-TXN-00000074
TXN-00000075,2025-11-03T20:41:55,ACC-002608,ACC-016708,4886.01,INR,payment,completed,true,0.846443,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0296,Medium,synthetic-design,AUDIT-transactions-TXN-00000075
TXN-00000076,2025-01-21T11:20:19,ACC-018838,ACC-028334,2143.06,INR,payment,completed,true,0.859684,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0080,Medium,synthetic-design,AUDIT-transactions-TXN-00000076
TXN-00000077,2024-04-24T18:16:44,ACC-017248,ACC-023087,2903.03,INR,withdrawal,completed,true,0.828665,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0301,Medium,synthetic-design,AUDIT-transactions-TXN-00000077
TXN-00000078,2024-04-01T01:30:18,ACC-013234,ACC-024686,1674.81,INR,transfer,completed,true,0.93226,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0306,Medium,synthetic-design,AUDIT-transactions-TXN-00000078
TXN-00000079,2025-05-21T02:59:40,ACC-012320,ACC-016670,1665.7,INR,transfer,completed,true,0.982577,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0311,Medium,synthetic-design,AUDIT-transactions-TXN-00000079
TXN-00000080,2024-01-08T23:54:54,ACC-013105,ACC-006320,573.49,INR,payment,completed,true,0.89416,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0316,Medium,synthetic-design,AUDIT-transactions-TXN-00000080
TXN-00000081,2024-09-05T00:46:35,ACC-001670,ACC-005798,739.34,INR,transfer,completed,true,0.906891,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0085,Medium,synthetic-design,AUDIT-transactions-TXN-00000081
TXN-00000082,2025-06-20T02:43:54,ACC-004391,ACC-009912,3110.21,INR,payment,completed,true,0.91189,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0321,Medium,synthetic-design,AUDIT-transactions-TXN-00000082
TXN-00000083,2025-02-06T00:02:14,ACC-012448,ACC-022646,6288.28,INR,withdrawal,pending,true,0.86224,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0326,Medium,synthetic-design,AUDIT-transactions-TXN-00000083
TXN-00000084,2025-08-11T04:10:38,ACC-027445,ACC-015226,379.37,INR,withdrawal,pending,true,0.863872,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0331,Medium,synthetic-design,AUDIT-transactions-TXN-00000084
TXN-00000085,2024-08-18T13:54:17,ACC-028738,ACC-003776,1971.97,INR,transfer,completed,true,0.968505,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0336,Medium,synthetic-design,AUDIT-transactions-TXN-00000085
TXN-00000086,2024-03-24T09:01:45,ACC-024099,ACC-019014,871.56,INR,deposit,completed,true,0.963116,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0090,Medium,synthetic-design,AUDIT-transactions-TXN-00000086
TXN-00000087,2024-12-27T20:32:55,ACC-029741,ACC-000353,499.92,INR,withdrawal,pending,true,0.847059,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0341,Medium,synthetic-design,AUDIT-transactions-TXN-00000087
TXN-00000088,2025-06-27T23:33:35,ACC-019334,ACC-027702,1027.72,INR,payment,completed,true,0.858364,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0346,Medium,synthetic-design,AUDIT-transactions-TXN-00000088
TXN-00000089,2025-04-21T22:07:29,ACC-000998,ACC-001932,478.62,INR,deposit,completed,true,0.903149,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0351,Medium,synthetic-design,AUDIT-transactions-TXN-00000089
TXN-00000090,2025-09-26T09:21:35,ACC-007161,ACC-020687,236.09,INR,withdrawal,completed,true,0.922779,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0356,Medium,synthetic-design,AUDIT-transactions-TXN-00000090
TXN-00000091,2025-06-22T03:32:56,ACC-017246,ACC-006141,5657.22,INR,withdrawal,completed,true,0.947426,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0095,Medium,synthetic-design,AUDIT-transactions-TXN-00000091
TXN-00000092,2024-02-28T17:46:29,ACC-016409,ACC-007863,3720.2,INR,payment,pending,true,0.913662,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0361,Medium,synthetic-design,AUDIT-transactions-TXN-00000092
TXN-00000093,2024-04-16T10:14:08,ACC-006840,ACC-006760,306.53,INR,transfer,pending,true,0.968637,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0366,Medium,synthetic-design,AUDIT-transactions-TXN-00000093
TXN-00000094,2025-12-01T04:00:05,ACC-022238,ACC-019359,5203.94,INR,payment,completed,true,0.971739,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0371,Medium,synthetic-design,AUDIT-transactions-TXN-00000094
TXN-00000095,2024-06-27T00:32:18,ACC-023685,ACC-027032,276.4,INR,deposit,completed,true,0.977533,"{""synthetic_pattern"": true, ""pattern_family"": ""fin""}",SYNTHETIC,,,true,,SCN-FIN-0376,Medium,synthetic-design,AUDIT-transactions-TXN-00000095
TXN-00000096,2025-05-22T17:22:40,ACC-009327,ACC-014041,673.17,INR,deposit,pending,true,0.90421,"{""synthetic_pattern"": true, ""pattern_family"": ""mixed""}",SYNTHETIC,,,true,,SCN-MIXED-0100,Medium,synthetic-design,AUDIT-transactions-TXN-00000096
