physical_event_id,timestamp,person_id,event_type,location_id,source_identifier,data_origin,source_dataset,source_record_reference,Synthetic_Flag,Source_Dataset,Generation_Batch_ID,Confidence_Level,Provenance_Mode,Audit_Reference
PHY-00000072,2024-12-01T14:15:01,PER-005099,prox-out-classified,LOC-005352,SYN-ACCESS-00000072,SYNTHETIC,,,true,,SCN-PHYS-0284,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000072
PHY-00000073,2025-03-01T09:29:14,PER-005167,prox-out-classified,LOC-002717,SYN-ACCESS-00000073,SYNTHETIC,,,true,,SCN-PHYS-0289,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000073
PHY-00000074,2024-05-09T00:05:39,PER-005274,prox-in-building,LOC-006025,SYN-ACCESS-00000074,SYNTHETIC,,,true,,SCN-PHYS-0294,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000074
PHY-00000075,2024-04-22T07:10:30,PER-005320,prox-out-classified,LOC-004914,SYN-ACCESS-00000075,SYNTHETIC,,,true,,SCN-PHYS-0299,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000075
PHY-00000076,2024-12-21T00:33:00,PER-001352,prox-in-building,LOC-009027,SYN-ACCESS-00000076,SYNTHETIC,,,true,,SCN-MIXED-0080,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000076
PHY-00000077,2025-11-02T10:35:13,PER-005421,prox-out-classified,LOC-004617,SYN-ACCESS-00000077,SYNTHETIC,,,true,,SCN-PHYS-0304,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000077
PHY-00000078,2025-06-27T05:51:29,PER-005555,prox-in-building,LOC-001449,SYN-ACCESS-00000078,SYNTHETIC,,,true,,SCN-PHYS-0309,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000078
PHY-00000079,2025-03-06T18:42:35,PER-005703,prox-in-building,LOC-002854,SYN-ACCESS-00000079,SYNTHETIC,,,true,,SCN-PHYS-0314,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000079
PHY-00000080,2025-07-13T09:50:38,PER-005839,prox-in-classified,LOC-004141,SYN-ACCESS-00000080,SYNTHETIC,,,true,,SCN-PHYS-0319,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000080
PHY-00000081,2025-02-16T13:27:25,PER-001445,prox-out-classified,LOC-005763,SYN-ACCESS-00000081,SYNTHETIC,,,true,,SCN-MIXED-0085,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000081
PHY-00000082,2024-03-07T06:38:02,PER-005934,prox-in-building,LOC-000964,SYN-ACCESS-00000082,SYNTHETIC,,,true,,SCN-PHYS-0324,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000082
PHY-00000083,2024-02-16T15:21:04,PER-006025,prox-in-building,LOC-000327,SYN-ACCESS-00000083,SYNTHETIC,,,true,,SCN-PHYS-0329,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000083
PHY-00000084,2025-06-11T08:34:21,PER-006155,prox-in-building,LOC-007880,SYN-ACCESS-00000084,SYNTHETIC,,,true,,SCN-PHYS-0334,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000084
PHY-00000085,2024-07-08T06:39:50,PER-006241,prox-out-classified,LOC-002807,SYN-ACCESS-00000085,SYNTHETIC,,,true,,SCN-PHYS-0339,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000085
PHY-00000086,2024-08-24T19:29:51,PER-001524,prox-out-classified,LOC-003890,SYN-ACCESS-00000086,SYNTHETIC,,,true,,SCN-MIXED-0090,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000086
PHY-00000087,2024-01-17T09:57:31,PER-006358,prox-out-classified,LOC-004180,SYN-ACCESS-00000087,SYNTHETIC,,,true,,SCN-PHYS-0344,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000087
PHY-00000088,2024-04-03T00:38:37,PER-006443,prox-in-classified,LOC-004989,SYN-ACCESS-00000088,SYNTHETIC,,,true,,SCN-PHYS-0349,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000088
PHY-00000089,2025-04-15T21:30:06,PER-006539,prox-in-classified,LOC-002316,SYN-ACCESS-00000089,SYNTHETIC,,,true,,SCN-PHYS-0354,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000089
PHY-00000090,2025-07-08T01:42:42,PER-006591,prox-in-classified,LOC-002741,SYN-ACCESS-00000090,SYNTHETIC,,,true,,SCN-PHYS-0359,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000090
PHY-00000091,2024-09-08T18:18:03,PER-001590,prox-in-building,LOC-001330,SYN-ACCESS-00000091,SYNTHETIC,,,true,,SCN-MIXED-0095,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000091
PHY-00000092,2025-04-12T23:57:45,PER-006710,prox-in-classified,LOC-008777,SYN-ACCESS-00000092,SYNTHETIC,,,true,,SCN-PHYS-0364,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000092
PHY-00000093,2024-04-18T06:55:27,PER-006766,prox-in-classified,LOC-009289,SYN-ACCESS-00000093,SYNTHETIC,,,true,,SCN-PHYS-0369,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000093
PHY-00000094,2025-07-31T07:05:17,PER-006830,prox-out-classified,LOC-009108,SYN-ACCESS-00000094,SYNTHETIC,,,true,,SCN-PHYS-0374,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000094
PHY-00000095,2024-10-15T17:49:00,PER-006946,prox-in-building,LOC-005620,SYN-ACCESS-00000095,SYNTHETIC,,,true,,SCN-PHYS-0379,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000095
PHY-00000096,2024-09-18T16:06:30,PER-001686,prox-out-classified,LOC-004005,SYN-ACCESS-00000096,SYNTHETIC,,,true,,SCN-MIXED-0100,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000096
PHY-00000097,2024-02-26T05:45:55,PER-007035,prox-in-classified,LOC-003901,SYN-ACCESS-00000097,SYNTHETIC,,,true,,SCN-PHYS-0384,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000097
PHY-00000098,2024-08-26T08:50:49,PER-007106,prox-in-building,LOC-008274,SYN-ACCESS-00000098,SYNTHETIC,,,true,,SCN-PHYS-0389,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000098
PHY-00000099,2024-09-21T07:05:22,PER-007236,prox-out-classified,LOC-001855,SYN-ACCESS-00000099,SYNTHETIC,,,true,,SCN-PHYS-0394,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000099
PHY-00000100,2024-05-14T11:44:18,PER-007324,prox-in-building,LOC-004586,SYN-ACCESS-00000100,SYNTHETIC,,,true,,SCN-PHYS-0399,Medium,synthetic-design,AUDIT-physical_access_events-PHY-00000100
